AST;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
225024;Pt Cook Airbase;100019;10;1912;1988;aeronautics;fighter_tactics;piloting;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225026;Victorian Navy;100021;10;1850;1909;large_taskforce_tactics;naval_training;seamanship;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225025;Australian Naval College;100020;8;1906;2000;large_taskforce_tactics;naval_training;seamanship;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225008;Guy Royle;T507;5;1930;1945;submarine_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225009;John Collins;T508;9;1930;1955;large_taskforce_tactics;carrier_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225010;Ragnar Colvin;T509;4;1930;1954;small_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225016;Wilfred Harrington;T515;5;1954;1965;small_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225011;Richard Williams;T510;6;1918;1950;fighter_tactics;decentralized_execution;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225013;William Bostock;T512;5;1930;1958;bomber_tactics;training;centralized_execution;piloting;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225018;Sir Colin Thomas Hannah;T517;4;1959;1971;fighter_tactics;combined_arms_focus;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225021;John Monash;100016;10;1914;1931;large_unit_tactics;centralized_execution;combined_arms_focus;small_unit_tactics;training;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225007;Dudley Lavarack;T506;5;1930;1957;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225012;Thomas Blamey;T511;4;1938;1951;large_unit_tactics;centralized_execution;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225019;Horace R. Campbell;T13607;4;1945;1954;individual_courage;management;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225017;Sir Sydney Fairbairn Rowell;T516;6;1950;1968;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225028;British Commonwealth Air Training Plan;TT225028;7;1940;1945;fighter_tactics;piloting;training;decentralized_execution;bomber_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250001;ASIS;T2250001;8;1952;2013;individual_courage;rt_user_2;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250002;Australian Aerospace;T2250002;5;1928;2000;rt_user_1;aeronautics;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250003;Faulding's Pharmaceuticals;T2250003;4;1848;2030;medicine;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250004;Advisory Council of Science and Industry;T2250004;5;1915;1926;chemistry;management;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250005;CSIR;T514;7;1926;1949;chemistry;management;industrial_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250006;Australian Flying Corps School;T2250006;4;1912;1921;fighter_tactics;bomber_tactics;piloting;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250007;Royal Australian Flight School;T2250006;5;1921;1930;fighter_tactics;bomber_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250008;Royal Australian Airforce Flight School;T2250008;8;1930;2050;fighter_tactics;bomber_tactics;seamanship;training;centralized_execution;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250009;David Unaipon;T2250009;8;1910;1965;medicine;industrial_engineering;nuclear_physics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250010;Frank John Fenner;T2250010;10;1938;2010;chemistry;medicine;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250011;Sir Charles Kingsford Smith;T2250011;7;1914;1935;fighter_design;bomber_design;aircraft_testing;avionics;technical_efficiency;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2250012;Australian Secret Investigation Organisation;T2250012;5;1949;2050;rt_user_2;electronics;small_unit_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
