AFG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
155047;Head of Military Intelligence;Ali Muhammed Khan;1940;1964;1964;SC;Naval Intelligence Specialist;Medium;M54020;X
155048;Head of Military Intelligence;Abdul Majid Zabuli;1943;1964;1964;SC;Dismal Enigma;High;M54004;X
155049;Head of Military Intelligence;Mohammed Etemadi Khan;1945;1964;1964;PA;Logistics Specialist;Medium;M54016;X
155050;Chief of Staff;Shah Mahmud Ghazi;1933;1964;1964;FA;School of Psychology;Medium;M54006;X
155051;Chief of Staff;Wazir Akbar Khan;1939;1964;1964;SC;School of Defence;Medium;M54018;X
155052;Chief of Staff;Nasirullah Husain;1943;1964;1964;SC;School of Fire Support;Medium;M54019;X
155053;Chief of Staff;Gholam Wali;1944;1964;1964;SC;School of Manoeuvre;Medium;M54063;X
155054;Chief of Army;Renato Bardolucci;1937;1964;1964;FA;Armoured Spearhead Doctrine;Medium;M54065;X
155055;Chief of Army;Asadullah Seraj Khan;1939;1964;1964;SC;Elastic Defence Doctrine;Medium;M54031;X
155056;Chief of Army;Wazir Akbar Khan;1942;1964;1964;SC;Static Defence Doctrine;Medium;M54018;X
155057;Chief of Army;Gholam Wali;1943;1964;1964;SC;Guns and Butter Doctrine;Medium;M54063;X
155058;Chief of Army;Nasirullah Husain;1945;1964;1964;PA;Decisive Battle Doctrine;Medium;M54019;X
155059;Chief of Navy;Muhammed Hashim;1939;1964;1964;SC;Base Control Doctrine;Medium;M54002;X
155060;Chief of Navy;Mohammed Etemadi Khan;1943;1964;1964;SC;Indirect Approach Doctrine;Medium;M54016;X
155061;Chief of Navy;Ali Muhammed Khan;1944;1964;1964;SC;Power Projection Doctrine;Medium;M54020;X
155062;Chief of Navy;Nasirullah Husain;1945;1964;1964;PA;Decisive Naval Battle Doctrine;Medium;M54019;X
155063;Chief of Navy;Shah Wali Khan;1946;1964;1964;PA;Open Seas Doctrine;Medium;M54042;X
155064;Chief of Air Force;Gholam Wali;1937;1964;1964;FA;Vertical Envelopment Doctrine;Medium;M54063;X
155065;Chief of Air Force;Shah Wali Khan;1938;1964;1964;FA;Carpet Bombing Doctrine;Medium;M54042;X
155066;Chief of Air Force;Feruccio Serafini;1939;1964;1964;FA;Air Superiority Doctrine;Medium;M54038;X
155067;Chief of Air Force;Muhammed Zahir;1939;1964;1964;SC;Army Aviation Doctrine;Medium;M54009;X
155068;Chief of Air Force;Ali Muhammed Khan;1945;1964;1964;PA;Naval Aviation Doctrine;Medium;M54020;X
155069;Head of State;Amanullah;1919;1964;1964;PA;Resigned Generalissimo;High;M54011;X
155070;Head of Government;Muhammed Ghobar;1933;1964;1964;PA;Backroom Backstabber;High;M54012;X
155071;Minister of Armament;Abdul Hadi Dawai;1933;1964;1964;PA;Laissez-Faire Capitalist;Medium;M54014;X
155072;Foreign Minister;Mohammed Maiwandwal;1951;1964;1964;PA;Ideological Crusader;Medium;M54080;X
155073;Chief of Army;Muhammad Sulaiman Khan;1914;1933;1964;PA;Decisive Battle Doctrine;Very High;unknown;X
155074;Chief of Army;Nadir Shah;1919;1933;1964;PA;Decisive Battle Doctrine;Very High;2139;X
155075;Chief of Staff;Muhammad Sulaiman Khan;1914;1933;1964;PA;School of Mass Combat;Very High;unknown;X
155076;Chief of Staff;Nadir Shah;1919;1933;1964;PA;School of Mass Combat;Very High;2139;X
155077;Foreign Minister;Habibullah;1914;1933;1964;PA;Iron Fisted Brute;Very High;2140;X
155078;Foreign Minister;Sardar Mahmud Tarzi;1919;1933;1964;PA;Great Compromiser;High;2141;X
155079;Head of Government;Muhammed Asef Khan;1914;1933;1964;PA;Silent Workhorse;High;unknown;X
155080;Head of Government;Saradar Muhammad Yusuf;1914;1933;1964;PA;Naive Optimist;High;unknown;X
155081;Head of Government;Amanullah;1919;1933;1964;PA;Flamboyant Tough Guy;High;M54011;X
155082;Head of State;Habibullah;1914;1933;1964;PA;Stern Imperialist;High;2140;X
155083;Head of State;Nasrullah;1919;1933;1964;PA;Autocratic Charmer;High;3721;X
155084;Minister of Armament;Habibullah;1914;1933;1964;PA;Military Entrepreneur;Medium;2140;X
155085;Minister of Armament;Ghulam Muhammad Wardak;1919;1933;1964;PA;Administrative Genius;High;5921;X
155086;Minister of Security;Habibullah;1914;1933;1964;PA;Man of the People;Medium;2140;X
155087;Minister of Security;Sardar Ali Ahmad Loynab;1919;1933;1964;PA;Silent Lawyer;High;5922;X
155088;Minister of Security;Amanullah;1919;1933;1964;PA;Crime Fighter;High;M54011;X
155089;Head of State;Muhammed Nadir;1929;1934;1964;PA;Resigned Generalissimo;Very High;2139;X
155200;Head of Government;Mohammed Daoud;1953;1979;1979;PA;Flamboyant Tough Guy;Medium;M54007;X
155201;Head of Government;Mohammad Yusuf;1963;1999;1999;PA;Happy Amateur;Medium;M155201;X
155202;Head of Government;Mohammad Hashim Maiwandwal;1965;1974;1990;PA;Old Admiral;Medium;M155202;X
155203;Head of Government;Mohammad Nur Ahmad Etemadi;1967;1980;1992;PA;Old Admiral;Medium;M155203;X
155204;Head of Government;Abdul Zahir;1971;1983;1983;PA;Smiling Oilman;Medium;M155204;X
155205;Head of Government;Mohammad Musa Shafiq;1972;1980;2013;PA;Silent Workhorse;Medium;M155205;X
155206;Head of State;Mohammed Daoud;1973;1979;1990;SC;Popular Figurehead;Medium;M54007;X
155207;Head of State;Nur Muhammad Taraki;1978;1980;1998;LWR;Barking Buffoon;Medium;M155207;X
155208;Head of Government;Nur Muhammad Taraki;1978;1980;1998;LWR;Backroom Backstabber;Medium;M155207;X
155209;Head of State;Ahmad Shah Massoud;1979;2002;2020;FA;Resigned Generalissimo;Medium;M155209;X
155210;Head of Government;Gulbuddin Hekmatyar;1979;2020;2020;FA;Political Protege;Medium;M155210;X
155211;Head of State;Burhanuddin Rabbani;1991;2012;2020;FA;Die-Hard Reformer;Medium;M155211;X
155212;Head of State;Babrak Karmal;1980;2013;2013;LE;Weary Stiffneck;Very High;AFG1;X
155213;Head of Government;Babrak Karmal;1980;2013;2013;LE;Happy Amateur;Very High;AFG1;X
155214;Foreign Minister;Sultan Ali Keshtmand;1980;2013;2013;LE;Apologetic Clerk;Very High;AFG2;X
155215;Minister of Armament;Abdul Qadir Dagarwal;1980;2013;2013;LE;Air to Ground Proponent;Very High;unknown;X
155216;Minister of Security;Mohammad Najibullah;1980;2013;2013;ST;Prince of Terror;Very High;AFG3;X
155217;Head of Military Intelligence;Shahnawaz Tanai;1980;2013;2013;ST;Logistics Specialist;Very High;AFG4;X
155218;Chief of Staff;Nazar Mohammed;1980;2013;2013;ST;School of Fire Support;Very High;unknown;X
155219;Chief of Army;Nazar Mohammed;1980;2013;2013;ST;Decisive Battle Doctrine;Very High;unknown;X
155220;Chief of Navy;Nazar Mohammed;1980;2013;2013;ST;Indirect Approach Doctrine;Very High;unknown;X
155221;Chief of Air Force;Nazar Mohammed;1980;2013;2013;ST;Army Aviation Doctrine;Very High;unknown;X
155222;Head of State;Sibghatullah Mojaddedi;1980;2013;2013;PA;Popular Figurehead;Very High;AFG5;X
155223;Head of Government;Burhanuddin Rabbani;1980;2013;2013;PA;Old General;Very High;AFG6;X
155224;Foreign Minister;Abdullah Abdullah;1980;2013;2013;PA;Great Compromiser;Very High;AFG7;X
155225;Minister of Armament;Ahmad Shah Massoud;1980;2013;2013;PA;Military Entrepreneur;Very High;AFG8;X
155226;Minister of Security;Abdul Qadir;1980;2013;2013;PA;Back Stabber;Very High;AFG9;X
155227;Head of Military Intelligence;Abdul Qadir;1980;2013;2013;PA;Logistics Specialist;Very High;AFG9;X
155228;Chief of Staff;Ahmad Shah Massoud;1980;2013;2013;PA;School of Psychology;Very High;AFG8;X
155229;Chief of Army;Burhanuddin Rabbani;1980;2013;2013;PA;Guns and Butter Doctrine;Very High;AFG6;X
155230;Chief of Navy;Burhanuddin Rabbani;1980;2013;2013;PA;Indirect Approach Doctrine;Very High;AFG6;X
155231;Chief of Air Force;Burhanuddin Rabbani;1980;2013;2013;PA;Army Aviation Doctrine;Very High;AFG6;X
