KAZ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
485111;Head of State;Nikolay Belyayev;1958;1964;1964;LE;Insignificant Layman;Medium;M485111;X
485112;Head of State;Dinmukhamed Kunayev;1960;1964;1964;LE;Insignificant Layman;Medium;M485109;X
485113;Head of Government;Zhumabek Tashenev;1960;1964;1964;LE;Ambitious Union Boss;Medium;M485113;X
485114;Head of Government;Salken Daulenov;1961;1970;1970;LE;Political Protege;Medium;M485114;X
485115;Head of State;Ismail Yusupov;1963;1970;1970;LE;Insignificant Layman;Medium;M485115;X
485116;Head of State;Sabir Niyazbekov;1965;1980;1980;LE;Resigned Generalissimo;Medium;M485116;X
485117;Head of Government;Masymkhan Beysembayev;1965;1975;1975;LE;Corporate Suit;Medium;M485117;X
485118;Head of Government;Bayken Ashimov;1970;2011;2011;LE;Smiling Oilman;Medium;M485118;X
485119;Head of State;Isatay Abdukarimov;1979;1985;1985;LE;Popular Figurehead;Medium;M485119;X
485120;Head of State;Sattar Ishamov;1980;1985;1985;LE;Barking Buffoon;Medium;M485120;X
485121;Head of State;Bayken Ashimov;1984;2011;2011;LE;Ruthless Powermonger;Medium;M485118;X
485122;Head of Government;Nursultan Nazarbayev;1984;2020;2020;LE;Old Airmarshal;Medium;KAZ1;X
485123;Head of State;Salamay Mukashev;1985;1990;1990;LE;Weary Stiffneck;Medium;M485123;X
485124;Head of State;Zakash Kamaledinov;1988;1990;1990;LE;Powerhungry Demagogue;Medium;M485124;X
485125;Head of State;Makhtay Sagdiyev;1989;2020;2020;LE;Autocratic Charmer;Medium;M485125;X
485126;Head of Government;Uzakbay Karamanov;1990;1995;1995;LE;Naive Optimist;Medium;M485126;X
485127;Head of Government;Sergey Tereshchenko;1991;2020;2020;LE;Silent Workhorse;Medium;M485127;X
485128;Head of State;Nursultan Nazarbayev;1985;2020;2020;LE;Stern Imperialist;Very High;KAZ1;X
485129;Head of Government;Nurlan Balgimbayev;1985;1992;1992;LE;Smiling Oilman;Very High;KAZ2;X
485130;Foreign Minister;Kassym-Jomart Tokayev;1985;1992;1992;LE;Iron fisted Brute;Very High;KAZ3;X
485131;Minister of Armament;Nurlan Balgimbayev;1985;1992;1992;LE;Resource Industrialist;Very High;KAZ2;X
485132;Minister of Security;Seilbek Altynbekov;1985;1992;1992;LE;Back Stabber;Very High;unknown;X
485133;Head of Military Intelligence;Daniyal Akhmetov;1985;1992;1992;LE;Logistics Specialist;Very High;unknown;X
485134;Chief of Staff;Sagadat Nurmagambetov;1985;1992;1992;LE;School of Fire Support;Very High;KAZ4;X
485135;Chief of Army;Sagadat Nurmagambetov;1985;1992;1992;LE;Guns and Butter Doctrine;Very High;KAZ4;X
485136;Chief of Navy;Sagadat Nurmagambetov;1985;1992;1992;LE;Indirect Approach Doctrine;Very High;KAZ4;X
485137;Chief of Air Force;Sagadat Nurmagambetov;1985;1992;1992;LE;Army Aviation Doctrine;Very High;KAZ4;X
