DDR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
507059;Minister of Security;Ernst Friedrich Wollweber;1953;1958;1958;ST;Back Stabber;Medium;DDR_Wollweber;X
507060;Minister of Security;Karl Maron;1955;1976;1976;ST;Crime Fighter;Medium;DDR_Karl Maron;X
507061;Minister of Security;Erich Fritz Emil Mielke;1957;1990;1990;ST;Prince of Terror;Medium;DDR_Erich Fritz Emil Mielke;X
507062;Minister of Security;Friedrich Dickel;1963;1991;1991;ST;Crime Fighter;Medium;DDR_Friedrich Dickel;X
507063;Minister of Security;Lothar Ahrendt;1989;2012;2012;ST;Efficient Sociopath;Medium;unknown;X
507064;Minister of Security;Wolfgang Schwanitz;1989;2012;2012;LE;Efficient Sociopath;Medium;DDR_Wolfgang Schwanitz;X
507065;Minister of Security;Peter Michael Diestel;1990;2012;2012;SD;Silent Lawyer;Medium;DDR_Peter Michael Diestel;X
507066;Head of Military Intelligence;Anton Ackermann;1933;1949;1949;LWR;Political Specialist;Medium;M507012;X
507067;Head of Military Intelligence;Vincenz Muller;1933;1949;1949;LWR;Political Specialist;Medium;DDR_Vincenz Muller;X
507068;Head of Military Intelligence;Gustav Szinda;1933;1966;1966;LE;Logistics Specialist;Medium;DDR_GustavSzinda;X
507069;Head of Military Intelligence;Anton Ackermann;1951;1954;1954;LE;Political Specialist;Medium;M507012;X
507070;Head of Military Intelligence;Karl Linke;1952;1957;1957;ST;Dismal Enigma;Medium;unknown;X
507071;Head of Military Intelligence;Ernst Friedrich Wollweber;1953;1958;1958;ST;Industrial Specialist;Very High;M27;X
507072;Head of Military Intelligence;Markus Wolf;1953;1987;1987;LE;Political Specialist;Very high;DDR_MarkusWolf;X
507073;Head of Military Intelligence;Willy Sägebrecht;1957;1959;1959;LE;Industrial Specialist;Medium;DDR_WillySagebrecht;X
507074;Head of Military Intelligence;Erich Fritz Emil Mielke;1957;1990;1990;ST;Logistics Specialist;Very High;M507024;X
507075;Head of Military Intelligence;Arthur Franke;1959;1975;1975;LE;Dismal Enigma;Medium;unknown;X
507076;Head of Military Intelligence;Theo Gregori;1974;1983;1983;LE;Technical Specialist;Medium;unknown;X
507077;Head of Military Intelligence;Alfred Krause;1982;1991;1991;LE;Dismal Enigma;Medium;unknown;X
507078;Head of Military Intelligence;Werner Großmann;1986;1991;1991;LE;Dismal Enigma;Medium;DDR_WernerGroßmann;X
507079;Head of Military Intelligence;Wolfgang Schwanitz;1989;2012;2012;LE;Political Specialist;Medium;DDR_Wolfgang Schwanitz;X
507080;Chief of Staff;Arno von Lenski;1933;1958;1958;LWR;School of Manoeuvre;Medium;DDR_ArnovonLenski;X
507081;Chief of Staff;Albert Schreiner;1933;1949;1949;LE;School of Psychology;Medium;DDR_AlbertSchreiner;X
507082;Chief of Staff;Ludwig Renn;1933;1949;1949;LE;School of Psychology;Medium;DDR_LudwigRenn;X
507083;Chief of Staff;Heinrich Rau;1933;1949;1949;LE;School of Psychology;Medium;DDR_HeinrichRau;X
507084;Chief of Staff;Gustav Szinda;1933;1966;1966;LE;School of Psychology;Medium;DDR_GustavSzinda;X
507085;Chief of Staff;Erich Weinert;1933;1953;1953;ST;School of Psychology;High;M152;X
507086;Chief of Staff;Hans Wulz;1949;1956;1956;ST;School of Psychology;Medium;DDR_HansWulz;X
507087;Chief of Staff;Heinrich Heitsch;1949;1956;1956;ST;School of Psychology;Medium;unknown;X
507088;Chief of Staff;Bernhard Bechler;1950;1956;1956;LE;School of Manoeuvre;Medium;unknown;X
507089;Chief of Staff;Vincenz Muller;1952;1958;1958;ST;School of Defence;Medium;DDR_Vincenz Muller;X
507090;Chief of Staff;Heinz Hoffmann;1958;1986;1986;ST;School of Psychology;Medium;DDR_Heinz Hoffmann;X
507091;Chief of Staff;Sigfrid Riedel;1960;1984;1984;ST;School of Manoeuvre;Medium;DDR_Sigfrid Riedel;X
507092;Chief of Staff;Heinz Kessler;1967;1991;1991;ST;School of Fire Support;Medium;DDR_Heinz Kessler;X
507093;Chief of Staff;Fritz Streletz;1979;1991;1991;ST;School of Defence;Medium;DDR_Fritz Streletz;X
507094;Chief of Staff;Manfred Gratz;1989;2000;2012;ST;School of Manoeuvre;Medium;DDR_ManfredGratz;X
507095;Chief of Army;Arno von Lenski;1933;1958;1958;LWR;Armoured Spearhead Doctrine;Medium;DDR_ArnovonLenski;X
507096;Chief of Army;Otto Korfes;1933;1952;1952;LWR;Elastic Defence Doctrine;Medium;L169;X
507097;Chief of Army;Walter Freytag;1933;1958;1958;LWR;Armoured Spearhead Doctrine;Medium;L77;X
507098;Chief of Army;Josef Raab;1933;1949;1949;LE;Armoured Spearhead Doctrine;Medium;DDR_JosefRaab;X
507099;Chief of Army;Heinrich Rau;1933;1949;1949;LE;Guns and Butter Doctrine;Medium;DDR_HeinrichRau;X
507100;Chief of Army;Gustav Szinda;1933;1966;1966;LE;Guns and Butter Doctrine;Medium;DDR_GustavSzinda;X
507101;Chief of Army;Wilhelm Zaisser;1933;1953;1953;LE;Guns and Butter Doctrine;Medium;M507006;X
507102;Chief of Army;Heinz Hoffmann;1950;1986;1986;LE;Guns and Butter Doctrine;Medium;DDR_Heinz Hoffmann;X
507103;Chief of Army;Richard Staimer;1933;1949;1949;ST;Guns and Butter Doctrine;Medium;unknown;X
507104;Chief of Army;Willi Stoph;1955;1960;1960;ST;Guns and Butter Doctrine;Medium;M507004;X
507105;Chief of Army;Horst Stechbarth;1972;1990;1990;ST;Armoured Spearhead Doctrine;Medium;DDR_Horst Stechbarth;X
507106;Chief of Army;Horst Skerra;1990;2012;2012;ST;Elastic Defence Doctrine;Medium;DDR_Horst Skerra;X
507107;Chief of Army;Hans-Christian Reiche;1990;2012;2012;ST;Armoured Spearhead Doctrine;Medium;unknown;X
507108;Chief of Navy;Felix Scheffler;1952;1976;1976;ST;Base Control Doctrine;Medium;DDR_FelixScheffler;X
507109;Chief of Navy;Wilhelm Ehm;1959;1988;1988;ST;Indirect Approach Doctrine;Medium;DDR_Wilhelm Ehm;X
507110;Chief of Navy;Heinz Neukirchen;1961;1966;1966;ST;Base Control Doctrine;Medium;unknown;X
507111;Chief of Navy;Theodor Hoffmann;1987;1991;1991;ST;Open Seas Doctrine;Medium;DDR_Theodor Hoffmann;X
507112;Chief of Navy;Hendrik Born;1990;2012;2012;ST;Open Seas Doctrine;Medium;DDR_HendrikBorn;X
507113;Chief of Air Force;Heinrich Graf von Einsiedel;1933;1948;1948;LWR;Air Superiority Doctrine;Medium;DDR_HeinrichGrafEinsiedel;X
507114;Chief of Air Force;Heinz Kessler;1950;1991;1991;ST;Army Aviation Doctrine;Medium;DDR_Heinz Kessler;X
507115;Chief of Air Force;Heinz Zorn;1955;1956;1956;ST;Army Aviation Doctrine;Medium;unknown;X
507116;Chief of Air Force;Gerhard Bauer;1956;1959;1959;ST;Army Aviation Doctrine;Medium;unknown;X
507117;Chief of Air Force;Herbert Scheibe;1967;1986;1986;ST;Air Superiority Doctrine;Medium;unknown;X
507118;Chief of Air Force;Wolfgang Reinhold;1972;1990;1990;ST;Air Superiority Doctrine;Medium;DDR_Wolfgang Reinhold;X
507119;Chief of Air Force;Rolf Berger;1989;2010;2012;ST;Air Superiority Doctrine;Medium;DDR_Rolf Berger;X
507120;Head of State;Ibrahim Böhme;1990;2000;2000;SD;Pig-headed Isolationist;Medium;M507120;X
507121;Head of State;Erich Honecker;1936;2000;2013;ST;Pig-headed Isolationist;High;DDR1;X
507122;Head of Government;Willi Stoph;1936;2000;2013;ST;Ambitious Union Boss;High;DDR2;X
507123;Foreign Minister;Oskar Fischer;1936;2000;2013;ST;Ideological Crusader;High;DDR3;X
507124;Minister of Armament;Ernst Höfer;1936;2000;2013;ST;laissez-faire capitalist;High;DDR4;X
507125;Minister of Security;Erich Mielke;1936;2000;2013;ST;Crooked Kleptocrat;High;DDR5;X
507126;Head of Military Intelligence;Markus Wolf;1936;2000;2013;ST;Political Specialist;Very High;DDR6;X
507127;Chief of Staff;Heinz Hoffmann;1936;2000;2013;ST;School of Mass Combat;Very High;DDR7;X
507128;Chief of Army;Horst Stechbarth;1936;2000;2013;ST;Decisive Battle Doctrine;Very High;DDR8;X
507129;Chief of Navy;Wilhelm Ehm;1936;2000;2013;ST;Base Control Doctrine;Very High;DDR9;X
507130;Chief of Air Force;Wolfgang Reinhold;1936;2000;2013;ST;Carpet Bombing Doctrine;Very High;DDR10;X
