EST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
130041;Minister of Armament;Nikolaus Pilankor;1944;1964;1964;ST;Military Entrepreneur;Medium;M26064;X
130042;Minister of Security;Richard Veermaa;1933;1964;1964;ML;Silent Lawyer;Medium;M26065;X
130043;Minister of Security;August Jürima;1939;1964;1964;ML;Crooked Kleptocrat;Medium;M26066;X
130044;Minister of Security;Johannes Klesment;1944;1964;1964;ML;Compassionate Gentleman;Medium;M26067;X
130045;Minister of Security;Julius Seljamaa;1938;1964;1964;PA;Prince of Terror;Medium;M26003;X
130046;Minister of Security;Oskar Angelus;1933;1964;1964;NS;Prince of Terror;Medium;M26015;X
130047;Minister of Security;Karl Sigismund Litzmann;1941;1964;1964;NS;Back Stabber;Low;M26035;X
130048;Minister of Security;Andrei Murro;1933;1964;1964;ST;Man of the People;Medium;M26072;X
130049;Minister of Security;Maksim Unt;1939;1964;1964;ST;Prince of Terror;Medium;M26025;X
130050;Minister of Security;Boris Kumm;1940;1964;1964;ST;Efficient Sociopath;Medium;M26074;X
130051;Minister of Security;Aleksander Rusev;1944;1964;1964;ST;Back Stabber;Medium;M26075;X
130052;Head of Military Intelligence;Jüri Uluots;1933;1964;1964;ML;Industrial Specialist;Medium;M26032;X
130053;Head of Military Intelligence;August Rei;1944;1964;1964;ML;Political Specialist;Medium;M26031;X
130054;Head of Military Intelligence;Oskar Angelus;1933;1964;1964;NS;Logistics Specialist;Medium;M26015;X
130055;Head of Military Intelligence;Oskar Sepre;1933;1964;1964;ST;Dismal Enigma;Medium;M26044;X
130056;Head of Military Intelligence;Johannes Vares-Barbaruse;1940;1964;1964;ST;Political Specialist;Medium;M26021;X
130057;Head of Military Intelligence;Arnold Veimer;1944;1964;1964;ST;Technical Specialist;Very High;M26046;X
130058;Chief of Staff;Alexander Jaakson;1933;1964;1964;ML;School of Fire Support;Medium;M26083;X
130059;Chief of Staff;Johan Holberg;1941;1964;1964;ML;School of Defence;Medium;M26084;X
130060;Chief of Staff;Johannes Soodla;1933;1964;1964;NS;School of Psychology;Medium;M26017;X
130061;Chief of Staff;Nikolay G. Karotamm;1933;1964;1964;ST;School of Mass Combat;Medium;M26027;X
130062;Chief of Army;Richard Veermaa;1933;1964;1964;ML;Decisive Battle Doctrine;Medium;M26065;X
130063;Chief of Army;Juhan Tuuling;1933;1964;1964;NS;Decisive Battle Doctrine;Medium;M26018;X
130064;Chief of Army;Alfons Rebane;1941;1964;1964;NS;Armoured Spearhead Doctrine;Medium;M26092;X
130065;Chief of Army;Nikolay G. Karotamm;1933;1964;1964;ST;Decisive Battle Doctrine;Medium;M26027;X
130066;Chief of Navy;Alex Nirk;1933;1964;1964;ML;Power Projection Doctrine;Medium;M26094;X
130067;Chief of Navy;Alfred Vendt;1933;1964;1964;FA;Indirect Approach Doctrine;Medium;M26014;X
130068;Chief of Navy;Johannes Vares-Barbaruse;1933;1964;1964;ST;Power Projection Doctrine;Medium;M26021;X
130069;Chief of Air Force;Leo Sepp;1933;1964;1964;ML;Carpet Bombing Doctrine;Medium;M26056;X
130070;Chief of Air Force;Juhan Tuuling;1933;1964;1964;NS;Army Aviation Doctrine;Medium;M26018;X
130071;Chief of Air Force;Oskar Eiriksson;1933;1964;1964;ST;Carpet Bombing Doctrine;Medium;M26030;X
130072;Head of Government;Jüri Uluots;1939;1964;1964;PA;Smiling Oilman;High;M26032;X
130073;Head of State;Boris Kumm;1946;1964;1964;ST;Pig-headed Isolationist;High;M26074;X
130074;Chief of Navy;Oskar Eiriksson;1946;1964;1964;ST;Open Seas Doctrine;Medium;M26030;X
130075;Chief of Army;Jaan Soots;1918;1942;1964;PA;static defence doctrine;High;6949;X
130076;Head of State;Jaan Tõnisson;1927;1940;1964;SC;Benevolent Gentleman;High;5766;X
130077;Head of Government;Jaan Tõnisson;1927;1940;1964;SC;Silent Workhorse;High;5766;X
130100;Head of Government;Johannes Sikkar;1953;1964;1964;SC;Flamboyant Tough Guy;Medium;M130100;X
130101;Head of Government;Tonis Kint;1960;1992;1992;SC;Happy Amateur;Medium;M130101;X
130102;Head of Government;Aleksander Warma;1962;1971;1971;SC;Political Protege;Medium;M130102;X
130103;Head of State;Aleksander Warma;1963;1971;1971;SC;Ruthless Powermonger;Medium;M130102;X
130104;Head of Government;Tonis Kint;1963;1992;1992;SC;Silent Workhorse;Medium;M130104;X
130105;Head of State;August Kründel;1944;1964;1964;ST;Popular Figurehead;Medium;M130105;X
130106;Head of Government;August Kründel;1944;1964;1964;ST;Political Protege;Medium;M130105;X
130107;Head of State;Otto Merimaa;1953;1964;1964;ST;Ruthless Powermonger;Medium;M130107;X
130108;Head of Government;Otto Merimaa;1953;1964;1964;ST;Political Protege;Medium;M130107;X
130109;Head of State;Joosep Saat;1955;1964;1964;ST;Popular Figurehead;Medium;M130109;X
130110;Head of Government;Joosep Saat;1955;1964;1964;ST;Ambitious Union Boss;Medium;M130109;X
130111;Head of State;Harald Ilves;1959;1964;1964;LE;Benevolent Gentleman;Medium;M130111;X
130112;Head of Government;Harald Ilves;1959;1964;1964;LE;Flamboyant Tough Guy;Medium;M130111;X
130113;Head of State;Vaino Väljas;1963;2020;2020;LE;Die-Hard Reformer;Medium;M130113;X
130114;Head of Government;Vaino Väljas;1963;2020;2020;LE;Naive Optimist;Medium;M130113;X
130115;Head of State;Tonis Kint;1963;1992;1992;SC;Weary Stiffneck;Medium;M130104;X
130116;Head of Government;Heinrich Mark;1971;2005;2005;SC;Old General;Medium;M130116;X
130117;Head of State;Alexei Müürisepp;1967;1971;1971;LE;Benevolent Gentleman;Medium;M130117;X
130118;Head of Government;Arnold Koop;1967;1989;1989;LE;Happy Amateur;Medium;M130118;X
130119;Head of Government;Ilmar Vahe;1968;1977;1977;LE;Political Protege;Medium;M130119;X
130120;Head of State;Artur Vader;1970;1979;1979;LE;Die-Hard Reformer;Medium;M130120;X
130121;Head of Government;Johannes Lott;1975;2020;2020;LE;Old Admiral;Medium;M130121;X
130122;Head of State;Johannes Käbin;1978;2000;2000;LE;Resigned Generalissimo;Medium;M130122;X
130123;Head of Government;Jüri Suurhans;1978;1985;1985;LE;Political Protege;Medium;M130123;X
130124;Head of Government;Matti Pedak;1982;1991;1991;LE;Old General;Medium;M130124;X
130125;Head of State;Arnold Rüütel;1983;2020;2020;SD;Ruthless Powermonger;Medium;M130125;X
130126;Head of Government;Valde Roosmaa;1985;2020;2020;LE;Flamboyant Tough Guy;Medium;M130126;X
130127;Head of Government;Enn-Arno Sillari;1989;2020;2020;LE;Old Admiral;Medium;M130127;X
130128;Head of State;Lennart Meri;1985;2013;2013;SC;Pig-headed Isolationist;Very High;EST1;X
130129;Head of Government;Edgar Savisaar;1985;2013;2013;SL;Backroom Backstabber;Very High;EST2;X
130130;Foreign Minister;Trivimi Velliste;1985;2013;2013;SC;Great Compromiser;Very High;EST3;X
130131;Minister of Armament;Siim Kallas;1985;2013;2013;ML;Laissez-Faire Capitalist;Very High;EST4;X
130132;Minister of Security;Lagle Parek;1985;2013;2013;ML;Crime Fighter;Very High;EST5;X
130133;Head of Military Intelligence;Lagle Parek;1985;2013;2013;ML;Political Specialist;Very High;EST5;X
130134;Chief of Staff;Ants Laaneots;1985;2013;2013;ML;School of Manoeuvre;Very High;EST6;X
130135;Chief of Army;Ants Laaneots;1985;2013;2013;ML;Guns and Butter Doctrine;Very High;EST6;X
130136;Chief of Navy;Ants Laaneots;1985;2013;2013;ML;Indirect Approach Doctrine;Very High;EST6;X
130137;Chief of Air Force;Ants Laaneots;1985;2013;2013;ML;Army Aviation Doctrine;Very High;EST6;X
