IND;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
250110;Head of State;Dr. Zakir Hussain;1967;1970;1970;ML;Stern Imperialist;Medium;M250110;X
250111;Head of Government;Deen Dayal Upadhyaya;1967;1969;1996;SC;Old Airmarshal;Medium;M250111;X
250112;Head of State;Varahagiri Venkata Giri;1969;1981;1981;SC;Ruthless Powermonger;Medium;M250112;X
250113;Head of Government;Morarji Desai;1971;1996;1996;SC;Smiling Oilman;Medium;M250113;X
250114;Head of State;Fakhruddin Ali Ahmed;1974;1978;1978;SC;Ruthless Powermonger;Medium;M250114;X
250115;Head of State;Neelam Sanjiva Reddy;1977;1997;1997;SC;Stern Imperialist;Medium;M250115;X
250116;Head of Government;Charan Singh;1980;1988;1988;SC;Happy Amateur;Medium;M250116;X
250117;Head of Government;N.T. Rama Rao;1984;1997;1997;SD;Happy Amateur;Medium;M250117;X
250118;Head of State;Ramaswamy Venkataraman;1987;2010;2010;SD;Die-Hard Reformer;Medium;M250118;X
250119;Head of Government;V. P. Singh;1989;2009;2009;SL;Corporate Suit;Medium;M250119;X
250120;Head of Government;Lal Krishna Advani;1991;2020;2020;SC;Ambitious Union Boss;Medium;M250120;X
250121;Head of State;Zail Singh;1982;2012;2012;SD;Popular Figurehead;Very High;IND1;X
250122;Head of Government;Rajiv Gandhi;1984;1992;2020;SL;Flamboyant Tough Guy;Very High;IND2;X
250123;Foreign Minister;Rajiv Gandhi;1985;1992;2020;SL;Great Compromiser;Very High;IND2;X
250124;Minister of Armament;P. V. Narasimha Rao;1985;1992;1992;SL;Laissez-Faire Capitalist;Very High;IND3;X
250125;Minister of Security;Shankarrao Chavan;1985;1992;1992;SD;Silent Lawyer;Very High;unknown;X
250126;Head of Military Intelligence;Radhakrishna Hariram Tahiliani;1985;1992;1992;ML;Naval Intelligence Specialist;Very High;IND4;X
250127;Chief of Staff;Arun Shridhar Vaidya;1985;1992;1992;ML;School of Fire Support;Very High;IND5;X
250128;Chief of Army;Arun Shridhar Vaidya;1985;1992;1992;ML;Decisive Battle Doctrine;Very High;IND5;X
250129;Chief of Navy;Radhakrishna Hariram Tahiliani;1985;1992;1992;ML;Decisive Naval Battle Doctrine;Very High;IND4;X
250130;Chief of Air Force;Lakshman Mohan Katre;1985;1992;1992;ML;Air Superiority Doctrine;Very High;IND6;X
250131;Chief of Air Force;Denis La Fontaine;1985;1992;1992;ML;Air Superiority Doctrine;Very High;IND7;X
250132;Head of Government;P. V. Narasimha Rao;1991;1992;1992;SL;Silent Workhorse;Very High;IND3;X
