CHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
55041;Minister of Armament;Jiang Jingguo;1945;1964;1964;PA;Administrative Genius;High;M52055;X
55042;Minister of Armament;Du Jianshi;1946;1964;1964;PA;Strategic Air Proponent;High;M52056;X
55043;Minister of Armament;Weng Wenhao;1939;1964;1964;SC;laissez-faire capitalist;Medium;M52057;X
55044;Minister of Armament;He Yingqin;1943;1964;1964;SC;Infantry Proponent;Medium;M52058;X
55045;Minister of Armament;Chen Gongbo;1939;1964;1964;FA;laissez-faire capitalist;Medium;M52014;X
55046;Minister of Armament;Yang Luchang;1941;1964;1964;FA;Resource Industrialist;Medium;M52043;X
55047;Minister of Armament;Chan Chak;1943;1964;1964;FA;Submarine Proponent;High;M52061;X
55048;Minister of Security;Dai Li;1938;1964;1964;PA;Crime Fighter;Very High;M52063;X
55049;Minister of Security;Walther Stennes;1937;1964;1964;PA;Back Stabber;Very High;M52064;X
55050;Minister of Security;Wu Zhongxin;1938;1964;1964;PA;Compassionate Gentleman;High;M52065;X
55051;Minister of Security;Huang Musong;1939;1964;1964;PA;Efficient Sociopath;High;M52066;X
55052;Minister of Security;Gu Zhenglun;1940;1964;1964;PA;Crime Fighter;Very High;M52067;X
55053;Minister of Security;Liu Fei;1941;1964;1964;PA;Silent Lawyer;Medium;M52068;X
55054;Minister of Security;Jiang Jingguo;1943;1964;1964;PA;Man of the People;Very High;M52055;X
55055;Minister of Security;Chen Lifu;1939;1964;1964;SC;Back Stabber;Medium;M52006;X
55056;Minister of Security;Kong Xiangxi;1943;1964;1964;SC;Man of the People;High;M52030;X
55057;Minister of Security;Kang Ze;1944;1964;1964;SC;Prince of Terror;Medium;M52072;X
55058;Minister of Security;Cai Yuanpei;1945;1964;1964;SC;Compassionate Gentleman;Medium;M52073;X
55059;Minister of Security;Ding Motun;1939;1964;1964;FA;Crooked Kleptocrat;Medium;M52015;X
55060;Minister of Security;Wang Kemin;1941;1964;1964;FA;Man of the People;Medium;M52012;X
55061;Minister of Security;Chan Hon-sam;1943;1964;1964;FA;Prince of Terror;High;M52076;X
55062;Minister of Security;Chen Fake;1944;1964;1964;FA;Efficient Sociopath;High;M52077;X
55063;Head of Military Intelligence;Dai Li;1937;1964;1964;PA;Political Specialist;Very High;M52063;X
55064;Head of Military Intelligence;He Yaozu;1939;1964;1964;PA;Industrial Specialist;Low;M52079;X
55065;Head of Military Intelligence;Mao Renfeng;1940;1964;1964;PA;Logistics Specialist;Very High;M52080;X
55066;Head of Military Intelligence;Jiang Yiying;1944;1964;1964;PA;Dismal Enigma;Very High;M52064;X
55067;Head of Military Intelligence;Yang Xuancheng;1941;1964;1964;PA;Naval Intelligence Specialist;Very High;M52082;X
55068;Head of Military Intelligence;Zheng Jiemin;1942;1964;1964;PA;Technical Specialist;Very High;M52083;X
55069;Head of Military Intelligence;Zhang Xueliang;1939;1964;1964;SC;Logistics Specialist;Low;M52008;X
55070;Head of Military Intelligence;Li Shiqun;1939;1964;1964;FA;Political Specialist;Medium;M52016;X
55071;Head of Military Intelligence;Chen Fake;1943;1964;1964;FA;Logistics Specialist;High;M52077;X
55072;Chief of Staff;Bai Chongxi;1923;1964;1964;PA;School of Mass Combat;Low;M52045;X
55073;Chief of Staff;Jiang Baili;1935;1964;1964;PA;School of Psychology;High;M52089;X
55074;Chief of Staff;Qian Dajun;1941;1964;1964;PA;School of Defence;High;M52090;X
55075;Chief of Staff;Lin Wei;1943;1964;1964;PA;School of Manoeuvre;High;M52035;X
55076;Chief of Staff;Xiao Yishu;1945;1964;1964;PA;School of Fire Support;High;M52092;X
55077;Chief of Staff;Xu Zuyi;1939;1964;1964;SC;School of Defence;High;M52093;X
55078;Chief of Staff;Qi Xieyuan;1939;1964;1964;FA;School of Fire Support;Low;M52017;X
55079;Chief of Army;Li Zongren;1923;1964;1964;PA;Static Defence Doctrine;High;M52031;X
55080;Chief of Army;Jiang Baili;1935;1964;1964;PA;Guns and Butter Doctrine;High;M52089;X
55081;Chief of Army;Gu Zhutong;1939;1964;1964;PA;Decisive Battle Doctrine;Low;M52097;X
55082;Chief of Army;Xu Tingyao;1944;1964;1964;PA;Armoured Spearhead Doctrine;High;M52098;X
55083;Chief of Army;He Yingqin;1939;1964;1964;SC;Elastic Defence Doctrine;High;M52058;X
55084;Chief of Army;Bao Wenyue;1939;1964;1964;FA;Static Defence Doctrine;Low;M52018;X
55085;Chief of Navy;Ouyang Ge;1937;1964;1964;PA;Open Seas Doctrine;High;M52101;X
55086;Chief of Navy;Zeng Yiding;1939;1964;1964;PA;Base Control Doctrine;Medium;M52102;X
55087;Chief of Navy;Chen Jiliang;1943;1964;1964;PA;Indirect Approach Doctrine;Medium;M52103;X
55088;Chief of Navy;Gui Yongqing;1945;1964;1964;PA;Decisive Naval Battle Doctrine;Very High;M52104;X
55089;Chief of Navy;Chen Cheng;1945;1964;1964;PA;Power Projection Doctrine;Very High;M52105;X
55090;Chief of Navy;Ren Shouxu;1939;1964;1964;SC;Open Seas Doctrine;Low;M52106;X
55091;Chief of Navy;Ren Yuandao;1939;1964;1964;FA;Open Seas Doctrine;Low;M52019;X
55092;Chief of Air Force;Huang Chenzuo;1937;1964;1964;PA;Air Superiority Doctrine;High;M52047;X
55093;Chief of Air Force;Shen Honglie;1937;1964;1964;PA;Naval Aviation Doctrine;Very High;M52109;X
55094;Chief of Air Force;Wang Shuming;1945;1964;1964;PA;Vertical Envelopment Doctrine;High;M52054;X
55095;Chief of Air Force;Qian Dajun;1939;1964;1964;SC;Carpet Bombing Doctrine;Very High;M52090;X
55096;Chief of Air Force;Chen Changchu;1939;1964;1964;FA;Army Aviation Doctrine;Low;M52020;X
55097;Head of Government;Yen Hsi-shan;1949;1964;1964;PA;Old General;High;M52114;X
55098;Head of Government;Ch'en Ch'eng;1950;1964;1964;PA;Political Protege;High;M52115;X
55099;Head of State;Dr. Sun Yat-Sen;1914;1936;1936;SD;Popular Figurehead;High;2343;X
55100;Head of Government;Wang Jingwei;1914;1936;1936;SD;Ambitious Union Boss;Medium;M52041;X
55101;Foreign Minister;Wu Tingfang;1914;1936;1936;SD;Ideological Crusader;High;2344;X
55102;Head of Military Intelligence;Lu Rongting;1914;1936;1936;SC;Political Specialist;Medium;2345;X
55103;Chief of Navy;Chen Biguang;1914;1936;1936;ML;Open Seas Doctrine;Medium;unknown;X
55104;Chief of Staff;Tang Jiyao;1914;1936;1936;ML;School of Mass Combat;Medium;2346;X
55105;Chief of Army;Chen Jiongming;1914;1936;1936;ML;Decisive Battle Doctrine;Medium;2347;X
55106;Chief of Air Force;Under Army Control;1914;1936;1936;ML;Air Superiority Doctrine;Medium;unknown;X
55200;Head of State;Li Zongren;1948;1964;1964;SC;Resigned Generalissimo;High;M52031;X
55201;Head of Government;Wong Wenhao;1948;1964;1964;SC;Silent Workhorse;Medium;M55201;X
55202;Head of Government;Yu Hung-Chun;1954;1964;1964;SC;Old Airmarshal;Medium;M55202;X
55203;Head of Government;Yen Chia-kan;1963;1964;1964;SC;Old Admiral;Medium;M55203;X
55204;Head of State;Chiang Kai-shek;1947;1976;1976;PA;Resigned Generalissimo;Medium;M55204;X
55205;Head of Government;Chiang Kai-shek;1947;1976;1976;PA;Old General;Medium;M55204;X
55206;Head of State;Chiang Kai-shek;1957;1976;1976;PA;Resigned Generalissimo;Medium;M55206;X
55207;Head of Government;Chiang Kai-shek;1957;1976;1976;PA;Old General;Medium;M55206;X
55300;Head of State;Mao Zedong;1945;1963;1963;ST;Powerhungry Demagogue;Medium;M51300;X
55301;Head of Government;Mao Zedong;1945;1963;1963;ST;Backroom Backstabber;Medium;M51300;X
55302;Foreign Minister;Li Kenong;1945;1963;1963;ST;Iron fisted Brute;Medium;M51006;X
55303;Minister of Armament;Wang Fengbo;1945;1963;1963;ST;Resource Industrialist;Medium;M51025;X
55304;Minister of Security;Gao Xue;1945;1963;1963;ST;Silent Lawyer;Medium;M51033;X
55305;Head of Military Intelligence;Xie Juezai;1945;1963;1963;ST;Industrial Specialist;Medium;M51005;X
55306;Chief of Staff;Chen Yi;1944;1964;1964;ST;School of Psychology;Medium;M51045;X
55307;Chief of Army;Chen Yi;1943;1964;1964;ST;Armoured Spearhead Doctrine;Medium;M51045;X
55308;Chief of Navy;Zhang Aiping;1949;1964;1964;LE;Open Seas Doctrine;Medium;CHC_ZhangAiping;X
55309;Chief of Air Force;Liu Yalou;1949;1964;1964;ST;Air Superiority Doctrine;Medium;CHC_LiuYalou;X
55310;Head of State;Zhang Guotao;1936;1964;1964;SD;Ruthless Powermonger;High;M51012;X
55311;Head of Government;Zhou Enlai;1949;1964;1964;LE;Ambitious Union Boss;High;M51051;X
55312;Foreign Minister;Huang Hua;1941;1964;1964;LE;Iron fisted Brute;Medium;CHC_HuangHua;X
55313;Minister of Armament;Shao Lizi;1949;1964;1964;SD;Resource Industrialist;Medium;CHC_ShaoLizi;X
55314;Minister of Security;Zhu Yunshan;1949;1964;1964;SD;Silent Lawyer;Medium;CHC_ZhuYunshan;X
55315;Head of Military Intelligence;Deng Xiaoping;1940;1964;1964;ST;Industrial Specialist;Medium;M51038;X
55316;Head of Government;Meigong Bin;1947;1964;1964;SD;Political Protege;Medium;CHC_MeigongBin;X
55317;Chief of Staff;Li Jishen;1933;1964;1964;SD;School of Defence;Medium;CHC_LiJishen;X
55318;Chief of Army;Li Jishen;1933;1964;1964;SD;Guns and Butter Doctrine;Medium;CHC_LiJishen;X
55319;Minister of Armament;Li Jishen;1937;1964;1964;SD;Military Entrepreneur;Medium;CHC_LiJishen;X
55320;Head of Government;Li Jishen;1933;1964;1964;SD;Old General;Medium;CHC_LiJishen;X
55321;Minister of Armament;Sun Yueqi;1949;1964;1964;SD;Resource Industrialist;Medium;CHC_SunYueqi;X
55322;Head of Military Intelligence;Meigong Bin;1935;1964;1964;SD;Political Specialist;Medium;CHC_MeigongBin;X
55323;Chief of Army;Teng Yun;1949;1964;1964;SD;Decisive Battle Doctrine;Medium;CHC_TengYun;X
55324;Chief of Staff;Teng Yun;1945;1964;1964;SD;School of Fire Support;Medium;CHC_TengYun;X
55325;Chief of Army;Wei Lihuang;1939;1964;1964;SD;Guns and Butter Doctrine;Medium;CHC_WeiLihuang;X
55326;Foreign Minister;Siyuan;1949;1964;1964;SD;Apologetic Clerk;Medium;CHC_Siyuan;X
55327;Minister of Armament;Siyuan;1928;1964;1964;SD;Theoretical Scientist;Medium;CHC_Siyuan;X
55328;Minister of Security;Siyuan;1928;1964;1964;SD;Silent Lawyer;Medium;CHC_Siyuan;X
55329;Chief of Army;Fu Zuoyi;1946;1964;1964;SD;Guns and Butter Doctrine;Medium;CHC_FuZuoyi;X
55330;Chief of Staff;Cheng Qian;1949;1964;1964;SD;School of Defence;Medium;CHC_ChengQian;X
55331;Chief of Army;Cheng Qian;1949;1964;1964;SD;Guns and Butter Doctrine;Medium;CHC_ChengQian;X
55332;Head of Government;Li Zhang Da;1948;1964;1964;SD;Old General;Medium;CHC_LiZhang Da;X
55333;Minister of Armament;Gan Yongbo;1949;1964;1964;SD;Laissez-faire Capitalist;Medium;CHC_GanYongbo;X
55334;Minister of Security;Gan Yongbo;1949;1964;1964;SD;Compassionate Gentleman;Medium;CHC_GanYongbo;X
55335;Head of State;Lin Bojiu;1936;1964;1964;LWR;Die-hard Reformer;High;M51004;X
55336;Head of Government;Lin Bojiu;1936;1964;1964;LWR;Flamboyant Tough Guy;High;M51004;X
55400;Head of State;Lu Rongting;1886;1925;1929;PA;Resigned Generalissimo;High;9544;X
55401;Head of Government;Li Guoyun;1903;1925;1956;PA;Naive Optimist;High;9545;X
55402;Foreign Minister;Lu Rongting;1886;1925;1929;PA;Biased Intellectual;High;9544;X
55403;Minister of Armament;Chen Bingkun;1904;1925;1928;PA;Resource Industrialist;Medium;9546;X
55404;Minister of Security;Zhu Qinglan;1893;1942;1942;PA;Man of the People;Medium;9547;X
55405;Head of Military Intelligence;Zhu Qinglan;1893;1942;1942;PA;Political Specialist;Very High;9547;X
55406;Chief of Staff;Lu Rongting;1886;1925;1929;PA;School of Mass Combat;Medium;9544;X
55407;Chief of Army;Tan Haoming;1893;1925;1926;PA;Decisive Battle Doctrine;Medium;9549;X
55408;Chief of Navy;Lin Baoyi;1894;1928;1931;PA;Decisive Naval Battle Doctrine;High;9550;X
55409;Chief of Air Force;Lu Rongting;1886;1925;1929;PA;Army Aviation Doctrine;Medium;9544;X
55410;Head of State;Chen Bingkun;1904;1925;1928;PA;Autocratic Charmer;High;9546;X
55411;Head of State;Tan Haoming;1893;1925;1926;PA;Resigned Generalissimo;High;9549;X
55412;Head of Government;Zhu Qinglan;1893;1942;1942;PA;Old General;High;9548;X
55413;Foreign Minister;Zhu Qinglan;1893;1942;1942;PA;General Staffer;High;9548;X
55414;Head of State;Cen Chenxuan;1918;1933;1933;PA;Cen Chenxuan;High;9552;X
55415;Head of Government;Lu Rongting;1886;1925;1929;PA;Old General;High;9544;X
55416;Head of State;Chen Jiongming;1909;1922;1933;PA;Weary Stiffneck;High;9515;X
55417;Head of Government;Ma Junwu;1902;1925;1941;PA;Happy Amateur;High;9553;X
55500;Head of State;Yen Chia-kan;1975;1994;1994;PA;Insignificant Layman;High;M55500;X
55501;Head of Government;Sun Yun-suan;1978;2007;2007;PA;Smiling Oilman;High;M55501;X
55502;Head of Government;Yu Kuo-hwa;1984;2001;2001;PA;Corporate Suit;High;M55502;X
55503;Head of State;Lee Teng-hui;1988;2020;2020;SC;Benevolent Gentleman;High;M55503;X
55504;Head of Government;Lee Huan;1989;2011;2011;SC;Naive Optimist;High;M55504;X
55505;Head of Government;Hau Pei-tsun;1990;2020;2020;PA;Political Protege;High;M55505;X
55506;Head of State;Chiang Ching-kuo;1978;2013;2013;PA;Stern Imperialist;Very High;CHI1;X
55507;Head of Government;Chiang Ching-kuo;1972;2013;2013;PA;Silent Workhorse;Very High;CHI1;X
55508;Foreign Minister;Hsu Li-teh;1985;2013;2013;PA;Great Compromiser;Very High;unknown;X
55509;Minister of Armament;Lu Reng-kong;1985;2013;2013;PA;Administrative Genius;Very High;unknown;X
55510;Minister of Security;Shi Qiyang;1985;2013;2013;PA;Silent Lawyer;Very High;unknown;X
55511;Head of Military Intelligence;Sung Chang-chih;1985;2013;2013;PA;Political Specialist;Very High;unknown;X
55512;Chief of Staff;Hau Pei-tsun;1985;2013;2013;ML;School of Defence;Very High;unknown;X
55513;Chief of Army;Hau Pei-tsun;1985;2013;2013;ML;Static Defence Doctrine;Very High;unknown;X
55514;Chief of Navy;Qian Liu;1985;2013;2013;ML;Indirect Approach Doctrine;Very High;unknown;X
55515;Chief of Air Force;Guo Rulin;1985;2013;2013;ML;Air Superiority Doctrine;Very High;unknown;X
