ARM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
455035;Head of Government;Hamazasp Ohandzhanyan;1920;1933;1964;PA;Silent Workhorse;Medium;5943;X
455036;Head of Government;Simeon Vratsyan;1920;1933;1964;PA;Backroom Backstabber;Medium;2177;X
455037;Head of Government;Sargis Hambardzumian;1920;1933;1964;ST;flamboyant tough guy;Medium;5942;X
455038;Head of Government;Sarkis Kasyan;1920;1933;1964;ST;Silent Workhorse;Medium;5944;X
455039;Head of Government;Aleksandr Miasnikyan;1921;1933;1964;ST;Flamboyant Tough Guy;Medium;5945;X
455040;Head of Government;Sarkis Ambartsumyan;1922;1933;1964;ST;Corporate Suit;Medium;unknown;X
455041;Head of Military Intelligence;General Siligian;1914;1933;1964;PA;Logistics Specialist;Medium;unknown;X
455042;Head of State;Avetik Sahakian;1914;1933;1964;PA;Popular Figurehead;Medium;5946;X
455043;Head of State;Sargis Hambardzumian;1914;1933;1964;LE;Weary Stiffneck;Medium;5942;X
455044;Head of State;Avestis Aharonyan;1918;1933;1964;PA;Resigned Generalissimo;Medium;2178;X
455045;Head of State;Avetik Sahakyan;1920;1933;1964;PA;Benevolent Gentleman;Medium;5946;X
455046;Head of State;Sarkis Kasyan;1920;1933;1964;ST;Insignificant Layman;Medium;5944;X
455047;Head of State;Aleksandr Miasnikyan;1921;1933;1964;ST;Popular Figurehead;Medium;5945;X
455048;Head of State;Sarkis Ambartsumyan;1922;1933;1964;ST;Powerhungry demagogue;Medium;unknown;X
455049;Minister of Armament;General Nazarpekian;1914;1933;1964;PA;Infantry Proponent;Medium;unknown;X
455050;Minister of Security;Aleksandr I. Khatisyan;1914;1933;1964;PA;Man of the People;Medium;2176;X
455051;Minister of Security;Abraham Gulkhandanian;1919;1933;1964;PA;Silent Lawyer;Medium;unknown;X
455052;Minister of Security;Ruben Ter-Minasian;1920;1933;1964;PA;Crime Fighter;Medium;5947;X
455053;Minister of Security;Sargis Araratian;1920;1933;1964;PA;Crime Fighter;Medium;5948;X
455054;Minister of Security;Simeon Vratsyan;1920;1933;1964;PA;Back Stabber;Medium;2177;X
455100;Head of State;Amatuni Vartapetyan;1936;1964;1964;ST;Benevolent Gentleman;Medium;M455100;X
455101;Head of Government;Abram Guloyan;1936;1964;1964;ST;Flamboyant Tough Guy;Medium;M455101;X
455102;Head of State;Grigory Arutyunov;1937;1964;1964;ST;Autocratic Charmer;Medium;M455102;X
455103;Head of Government;Aram Piruzyan;1937;1964;1964;ST;Happy Amateur;Medium;M455103;X
455104;Head of Government;Agasi Sarkisyan;1943;1964;1964;ST;Naive Optimist;Medium;M455104;X
455105;Head of Government;Saak Karapetyan;1947;1964;1964;ST;Political Protege;Medium;M455105;X
455106;Head of Government;Anton Kochinyan;1952;1964;1964;ST;Smiling Oilman;Medium;M455106;X
455107;Head of State;Suren Tovmasyan;1953;1964;1964;LE;Weary Stiffneck;Medium;M455107;X
455108;Head of State;Yakov Zarobyan;1960;1964;1964;LE;Benevolent Gentleman;Medium;M455108;X
455109;Head of State;Anton Kochinyan;1966;1990;1990;LE;Autocratic Charmer;Medium;M455109;X
455110;Head of Government;Badal Muradyan;1966;1973;1973;LE;Ambitious Union Boss;Medium;M455110;X
455111;Head of Government;Grigory Arzumanyan;1972;1977;1977;LE;Flamboyant Tough Guy;Medium;M455111;X
455112;Head of State;Karen Demirchyan;1974;2000;2013;LE;Stern Imperialist;Medium;M455112;X
455113;Head of Government;Fadey Sargsyan;1977;2011;2011;LE;Flamboyant Tough Guy;Medium;M455113;X
455114;Head of State;Suren Arutyunyan;1988;2020;2020;LE;Popular Figurehead;Medium;M455114;X
455115;Head of Government;Vladimir Markaryants;1989;2020;2020;LE;Naive Optimist;Medium;M455115;X
455116;Head of State;Levon Ter-Petrossian;1990;2020;2020;SC;Barking Buffoon;Medium;M455116;X
455117;Head of Government;Vazgen Manukyan;1990;2020;2020;SC;Silent Workhorse;Medium;M455117;X
455118;Head of Government;Gagik Harutyunyan;1991;2020;2020;SC;Old Airmarshal;Medium;M455118;X
455119;Foreign Minister;Armen Sargsyan;1980;2013;2013;ML;Great Compromiser;Very High;ARM3;X
455120;Minister of Armament;Vazgen Sargsyan;1980;2013;2013;SC;Military Entrepreneur;Very High;ARM4;X
455121;Minister of Security;Serzh Sargsyan;1980;2013;2013;SC;Crime Fighter;Very High;ARM5;X
455122;Head of Military Intelligence;Vazgen Sargsyan;1980;2013;2013;SC;Logistics Specialist;Very High;ARM4;X
455123;Chief of Staff;Arkady Ter-Tadevosyan;1980;2013;2013;ML;School of Psychology;Very High;ARM6;X
455124;Chief of Army;Arkady Ter-Tadevosyan;1980;2013;2013;ML;Guns and Butter Doctrine;Very High;ARM6;X
455125;Chief of Navy;Arkady Ter-Tadevosyan;1980;2013;2013;ML;Indirect Approach Doctrine;Very High;ARM6;X
455126;Chief of Air Force;Arkady Ter-Tadevosyan;1980;2013;2013;ML;Army Aviation Doctrine;Very High;ARM6;X
