LIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
380107;Head of Government;Charles Taylor;1990;2004;2020;FA;Smiling Oilman;Medium;M380106;X
380108;Head of State;Samuel Doe;1980;2012;2012;FA;Ruthless Powermonger;High;LIB1;X
380109;Head of Government;Samuel Doe;1980;2012;2012;FA;Old General;High;LIB1;X
380110;Foreign Minister;Samuel Doe;1984;2012;2012;FA;Ideological Crusader;High;LIB1;X
380111;Minister of Armament;Samuel Doe;1984;2012;2012;FA;Infantry Proponent;High;LIB1;X
380112;Minister of Security;Samuel Doe;1984;2012;2012;FA;Crooked Kleptocrat;High;LIB1;X
380113;Head of Military Intelligence;Samuel Doe;1984;2012;2012;FA;Industrial Specialist;High;LIB1;X
380114;Chief of Staff;Samuel Doe;1984;2012;2012;FA;School of Mass Combat;High;LIB1;X
380115;Chief of Army;Samuel Doe;1984;2012;2012;FA;Guns and Butter Doctrine;High;LIB1;X
380116;Chief of Navy;Samuel Doe;1984;2012;2012;FA;Open Seas Doctrine;High;LIB1;X
380117;Chief of Air Force;Samuel Doe;1984;2012;2012;FA;Air Superiority Doctrine;High;LIB1;X
