CAM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
580109;Head of State;André Soucadaux;1950;1964;1964;SL;Autocratic Charmer;Medium;M580109;X
580110;Head of Government;André Soucadaux;1950;1964;1964;SL;Naive Optimist;Medium;M580109;X
580111;Head of State;Roland Pré;1954;1964;1964;SL;Weary Stiffneck;Medium;M580111;X
580112;Head of Government;Roland Pré;1954;1964;1964;SL;Political Protege;Medium;M580111;X
580113;Head of Government;Ruben Um Nyobé;1955;1964;1964;SL;Flamboyant Tough Guy;Medium;M580113;X
580114;Head of State;Pierre Messmer;1956;1964;1964;SL;Insignificant Layman;Medium;M580114;X
580115;Head of State;Xavier Antoine Torré;1958;1964;1964;SL;Resigned Generalissimo;Medium;M580115;X
580116;Head of Government;Ahmadou Ahidjo;1958;1990;1990;SL;Smiling Oilman;Medium;M534018;X
580117;Head of Government;Charles Assale;1960;2000;2000;SL;Silent Workhorse;Medium;M580117;X
580118;Head of Government;Simon Pierre Tchoungui;1965;1998;1998;SC;Old General;Medium;M580118;X
580119;Head of Government;Bello Bouba Maigari;1982;2020;2020;SC;Smiling Oilman;Medium;M580119;X
580120;Head of Government;Luc Ayang;1983;2020;2020;SC;Old General;Medium;M580120;X
580121;Head of Government;Sadou Hayatou;1991;2020;2020;SC;Happy Amateur;Medium;M580121;X
580122;Head of State;Paul Biya;1982;2020;2020;PA;Weary Stiffneck;High;CAM1;X
580123;Head of Government;Paul Biya;1975;2020;2020;PA;Backroom Backstabber;High;CAM1;X
580124;Foreign Minister;Paul Biya;1984;2020;2020;PA;Great Compromiser;High;CAM1;X
580125;Minister of Armament;Paul Biya;1984;2020;2020;PA;Corrupt Kleptocrat;High;CAM1;X
580126;Minister of Security;Paul Biya;1984;2020;2020;PA;Back Stabber;High;CAM1;X
580127;Head of Military Intelligence;Paul Biya;1984;2020;2020;PA;Political Specialist;High;CAM1;X
580128;Chief of Staff;Paul Biya;1984;2020;2020;PA;School of Psychology;High;CAM1;X
580129;Chief of Army;Paul Biya;1984;2020;2020;PA;Decisive Battle Doctrine;High;CAM1;X
580130;Chief of Navy;Paul Biya;1984;2020;2020;PA;Indirect Approach Doctrine;High;CAM1;X
580131;Chief of Air Force;Paul Biya;1984;2020;2020;PA;Naval Aviation Doctrine;High;CAM1;X
